unemployed buildings birthdeath cars households social_insurance benefits
City-Ost 1.6875 1.375 -0.01875 9.2125 160 6.14375 1.55625
City-West 1.06451612903226 0.82258064516129 -0.887096774193548 11.5483870967742 62 3.5 1.06451612903226
Cityring-Ost 1.13432835820896 1.44776119402985 -0.0696517412935323 6.81592039800995 201 6.52238805970149 0.686567164179104
Cityring-West 1.04545454545455 1.08333333333333 -0.21969696969697 7.90151515151515 132 4.83333333333333 1.3030303030303
Westfalenhalle 0.643968871595331 1.26653696498054 -0.0972762645914397 5.28988326848249 514 4.93968871595331 0.307392996108949
Sudwestfriedhof 0.665024630541872 1.2807881773399 -0.0394088669950739 4.40394088669951 203 4.66502463054187 0.285714285714286
Tremonia 0.780487804878049 1.31707317073171 -0.119512195121951 4.05121951219512 410 3.93414634146341 0.529268292682927
Westpark 0.883647798742138 1.19182389937107 -0.0220125786163522 4.19811320754717 318 4.68867924528302 0.638364779874214
Dorstfelder-Brucke 0.981102362204724 0.828346456692913 0.0551181102362205 2.5496062992126 635 3.24409448818898 1.11181102362205
Union 0.963157894736842 0.747368421052632 0.0947368421052632 2.62105263157895 190 2.23157894736842 0.973684210526316
Hallerey 0.631484794275492 0.626118067978533 0.00894454382826476 2.95169946332737 559 2.43291592128801 0.740608228980322
Dorstfeld 0.628899835796388 1.04926108374384 0.0246305418719212 2.58456486042693 609 2.31691297208539 0.967159277504105
Oberdorstfeld 0.555078683834049 2.23605150214592 -0.0486409155937053 4.53361945636624 699 3.07439198855508 0.409155937052933
Hafen 1.3582966226138 0.807635829662261 0.00293685756240822 3.08370044052863 681 3.09397944199706 1.27753303964758
Hafen-Sud 1.09450549450549 0.837362637362637 0.0417582417582418 2.78681318681319 455 2.51868131868132 1.2043956043956
Hafen-Sudost 1.30681818181818 0.693181818181818 0.0321969696969697 2.40719696969697 528 2.93560606060606 1.07007575757576
Nordmarkt-Sud 0.97037037037037 0.48994708994709 0.0158730158730159 1.71322751322751 945 2.00952380952381 1.42857142857143
Nordmarkt-Sudost 1.28174603174603 0.513888888888889 0.0694444444444444 1.83928571428571 504 1.90079365079365 1.48809523809524
Nordmarkt-West 0.927328556806551 0.582395087001023 -0.0429887410440123 1.91606960081883 977 2.2128966223132 1.02251791197544
Nordmarkt-Ost 0.983388704318937 0.589700996677741 0.0714285714285714 2.18936877076412 602 2.00332225913621 1.07308970099668
